Codigo_do_alimento; Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Colesterol_(mg);AG_Saturados_(g);AG_Mono _(g);AG_Poli_(g);AG_Linoleico_(g);AG_Linolenico_(g);AG_Trans_total_(g);Acucar_total_(g);Acucar_de_adicao_(g)
6801801;Laranja (pera. seleta. lima. da terra. etc.);Frutas;99;Nao se aplica;0;0.02;0.02;0.03;0.02;0.01;0;8.37;0
6801901;Lima;Frutas;99;Nao se aplica;0;0.02;0.02;0.03;0.02;0.01;0;8.37;0
6802001;Limao (comum. galego. etc.);Frutas;99;Nao se aplica;0;0.02;0.02;0.06;0.04;0.02;0;0.7;0
6802201;Tangerina;Frutas;99;Nao se aplica;0;0.04;0.06;0.07;0.05;0.02;0;10.58;0
6802202;Mexerica;Frutas;99;Nao se aplica;0;0.04;0.06;0.07;0.05;0.02;0;10.58;0
6802217;Bergamota;Frutas;99;Nao se aplica;0;0.04;0.06;0.07;0.05;0.02;0;10.58;0
6802218;Mimosa;Frutas;99;Nao se aplica;0;0.04;0.06;0.07;0.05;0.02;0;10.58;0
6802223;Tanja;Frutas;99;Nao se aplica;0;0.04;0.06;0.07;0.05;0.02;0;10.58;0
6802227;Maricota;Frutas;99;Nao se aplica;0;0.04;0.06;0.07;0.05;0.02;0;10.58;0
6802407;Laranjinha japonesa;Frutas;99;Nao se aplica;0;0.02;0.02;0.03;0.02;0.01;0;8.37;0
6802501;Canadeacucar;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;9.83;19.97
6802601;Abacaxi;Frutas;99;Nao se aplica;0;0.01;0.01;0.04;0.02;0.02;0;9.26;0
6802602;Ananas;Frutas;99;Nao se aplica;0;0.01;0.01;0.04;0.02;0.02;0;9.26;0
6802701;Abacate;Frutas;99;Nao se aplica;0;1.96;5.51;1.68;1.58;0.1;0;2.42;0
6802801;Caqui;Frutas;99;Nao se aplica;0;0.02;0.04;0.04;0.04;0;0;12.54;0
6802901;Figo;Frutas;99;Nao se aplica;0;0.06;0.07;0.14;0.14;0;0;6.9;0
6803001;Maca;Frutas;99;Nao se aplica;0;0.03;0.01;0.05;0.04;0.01;0;10.4;0
6803101;Mamao;Frutas;99;Nao se aplica;0;0.04;0.04;0.03;0.01;0.03;0;4.86;0
6803108;Papaia;Frutas;99;Nao se aplica;0;0.04;0.04;0.03;0.01;0.03;0;4.86;0
6803201;Manga;Frutas;99;Nao se aplica;0;0.07;0.1;0.05;0.01;0.04;0;12.73;0
6803215;Manguito;Frutas;99;Nao se aplica;0;0.07;0.1;0.05;0.01;0.04;0;12.73;0
6803301;Maracuja;Frutas;99;Nao se aplica;0;0.06;0.09;0.41;0.41;0;0;10.4;0
6803401;Melancia;Frutas;99;Nao se aplica;0;0.02;0.04;0.05;0.05;0;0;6.21;0
6803501;Melao;Frutas;99;Nao se aplica;0;0.04;0;0.06;0.03;0.03;0;8.12;0
6803601;pera;Frutas;99;Nao se aplica;0;0.01;0.03;0.03;0.03;0;0;9.79;0
6803701;Pessego;Frutas;99;Nao se aplica;0;0.02;0.07;0.09;0.08;0;0;8.38;0
6803801;Frutadeconde;Frutas;99;Nao se aplica;0;0.07;0.01;0.09;0.05;0.04;0;3.39;0
6803802;Pinha (frutadeconde);Frutas;99;Nao se aplica;0;0.07;0.01;0.09;0.05;0.04;0;3.39;0
6803803;Ata;Frutas;99;Nao se aplica;0;0.07;0.01;0.09;0.05;0.04;0;3.39;0
6803901;Uva;Frutas;99;Nao se aplica;0;0.05;0.01;0.05;0.04;0.01;0;15.48;0
6803912;Uva passa;Frutas;99;Nao se aplica;0;0.06;0.05;0.04;0.03;0.01;0;57.88;0
6804001;Jenipapo ;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6804101;Jaca;Frutas;99;Nao se aplica;0;0.06;0.04;0.09;0.06;0.02;0;8.08;0
6804201;Goiaba;Frutas;99;Nao se aplica;0;0.27;0.09;0.4;0.29;0.11;0;8.82;0
6804203;Aracaacu (goiaba);Frutas;99;Nao se aplica;0;0.27;0.09;0.4;0.29;0.11;0;8.82;0
6804301;Ameixa;Frutas;99;Nao se aplica;0;0.02;0.13;0.04;0.04;0;0;9.93;0
6804401;Caju;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6804501;Cereja;Frutas;99;Nao se aplica;0;0.04;0.05;0.05;0.03;0.03;0;12.82;0
6804601;Cajamanga;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6804602;Cajarana;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6804701;Tapereba;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6804702;Acaja (tabereba);Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6804801;Carambola;Frutas;99;Nao se aplica;0;0.02;0.03;0.18;0.16;0.03;0;3.75;0
6804901;Jabuticaba;Frutas;99;Nao se aplica;0;0.02;0.08;0.25;0.16;0.09;0;7.48;0
6805001;Graviola;Frutas;99;Nao se aplica;0;0;0.1;0;0.01;0.02;0;0;0
6805201;Morango;Frutas;99;Nao se aplica;0;0.02;0.04;0.16;0.09;0.07;0;4.9;0
6805301;Jambo;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6805401;Atemoia ;Frutas;99;Nao se aplica;0;0.07;0.01;0.09;0.05;0.04;0;3.39;0
6805601;Mangaba;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6805701;Araca;Frutas;99;Nao se aplica;0;0.27;0.09;0.4;0.29;0.11;0;8.82;0
6805801;Nespera;Frutas;99;Nao se aplica;0;0.04;0.01;0.09;0.08;0.01;0;6.3;0
6805901;Frutapao;Frutas;99;Nao se aplica;0;0.05;0.03;0.07;0.05;0.02;0;2.9;0
6806001;Sapoti;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6806101;Uxi;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6806201;Tamarindo;Frutas;99;Nao se aplica;0;0.27;0.18;0.06;0.06;0;0;0;0
6806301;Cacau;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6806401;Pitomba ;Frutas;99;Nao se aplica;0;0.1;0.12;0.13;0.07;0.07;0;15;0
6806501;Bacuri;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6806601;Inga;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6806701;Pequi;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6806801;Pitanga ;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6806901;Ciriguela;Frutas;99;Nao se aplica;0;0.2;0;0.1;0.07;0.03;0;0;0
6807001;Murici;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6807101;Umbu;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6807103;Imbu;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6807202;Biriba;Frutas;99;Nao se aplica;0;0.07;0.01;0.09;0.05;0.04;0;3.39;0
6807301;Cupuacu;Frutas;99;Nao se aplica;0;0.4;0.2;0.1;0.03;0.09;0;0;0
6807401;Nectarina;Frutas;99;Nao se aplica;0;0.03;0.09;0.11;0.11;0;0;7.81;0
6807501;Mari;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6807601;Roma;Frutas;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6807701;Acerola;Frutas;99;Nao se aplica;0;0.07;0.08;0.09;0.05;0.04;0;0;0
6807801;Kiwi;Frutas;99;Nao se aplica;0;0.03;0.05;0.29;0.25;0.04;0;8.97;0
6808001;Abiu;Frutas;99;Nao se aplica;0;0.3;0.1;0.1;0.1;0.02;0;0;0
6808201;Jurubeba;Frutas;99;Nao se aplica;0;0.5;0.5;2.1;2.09;0.03;0;0;0
6808401;Fruta (nao especificada);Frutas;99;Nao se aplica;0;0.11;0.03;0.07;0.05;0.03;0;12.23;0
6808601;Maca organica;Frutas;99;Nao se aplica;0;0.03;0.01;0.05;0.04;0.01;0;10.4;0
6808901;Acerola organica;Frutas;99;Nao se aplica;0;0.07;0.08;0.09;0.05;0.04;0;0;0
6809901;Amora;Frutas;99;Nao se aplica;0;0.01;0.05;0.28;0.19;0.09;0;4.88;0
6810201;Jamelao (jamburao);Frutas;99;Nao se aplica;0;0.02;0.08;0.25;0.16;0.09;0;7.48;0
6900302;Demerara;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;99.91;99.98
6900304;Acucar mascavo;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;97.02;98.09
6900401;Rapadura;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;42.2;60.8
6900402;Alfenim de cana;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;42.2;60.8
6900403;Batida (rapadura);Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;97.02;98.09
6900501;Sorvete de qualquer sabor industrializado;Acucares e produtos de confeitaria ;99;Nao se aplica;40.67;6.79;3.05;0.44;0.27;0.17;0.37;18.89;20.03
6900502;Picole de qualquer sabor industrializado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.05;0.02;0.02;0;0;13.67;19.23
6900601;Chiclete;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;58.97;60.06
6900603;Bala;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;98.2;98
6900604;Caramelo (bala);Acucares e produtos de confeitaria ;99;Nao se aplica;7;2.48;1.54;3.48;3.45;0.03;0.04;46.75;68.2
6900605;Drops;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;98.2;98
6900606;Pastilha;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;58.97;60.06
6900607;Pirulito;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;98.2;98
6900609;Goma de mascar;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;58.97;60.06
6900610;Jujuba;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;46.56;84.42
6900701;Tablete de chocolate;Acucares e produtos de confeitaria ;99;Nao se aplica;23;20.78;15.87;1.26;1.06;0.12;0.09;54.8;46.99
6900702;Barra de chocolate;Acucares e produtos de confeitaria ;99;Nao se aplica;23;20.78;15.87;1.26;1.06;0.12;0.09;54.8;46.99
6900706;Confete;Acucares e produtos de confeitaria ;99;Nao se aplica;14;13.08;5.18;0.92;0.86;0.06;0.17;63.3;57.75
6900801;Chocolate em po de qualquer marca;Acucares e produtos de confeitaria ;99;Nao se aplica;0.45;0.8;1.54;1.04;1.01;0.03;0.37;80.44;77.59
6900818;Ovomaltine;Acucares e produtos de confeitaria ;99;Nao se aplica;5.82;1.62;2.68;0.74;0.69;0.04;0.99;70.81;51.34
6900821;Achocolatado em po;Acucares e produtos de confeitaria ;99;Nao se aplica;0;2.27;0;0;0;0;0;77.39;77.24
6900822;Toddynho;Acucares e produtos de confeitaria ;99;Nao se aplica;12.05;2.11;0.99;0.12;0.08;0.05;0.12;10.14;5.09
6900901;Bombom de qualquer marca;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;84.44;93.18
6900904;Trufa ;Acucares e produtos de confeitaria ;99;Nao se aplica;32.32;20.83;11.78;1.89;1.69;0.19;0.88;41.35;40.34
6901001;Geleia de frutas de qualquer marca ou sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.04;0;0;0;0;48.9;65.51
6901002;Mousse de qualquer sabor (Geleia) ;Acucares e produtos de confeitaria ;99;Nao se aplica;159.21;12.59;6.92;0.94;0.76;0.14;0.46;29.84;28.14
6901101;Geleia de mocoto;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;27.97;27.99
6901201;Doce de frutas em pasta de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.08;0.03;0.12;0.09;0.03;0;72.58;69.99
6901203;Pasta de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;0;10.51;24.22;14.16;14.08;0.08;0;9.22;4.9
6901204;Pessegada;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0.02;0.02;0.02;0;0;16.06;11.21
6901206;Marmelada;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.04;0;0;0;0;48.9;65.51
6901209;Figada;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.02;0.02;0.05;0.05;0;0;16.75;13.3
6901211;Goiabada;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.08;0.03;0.12;0.09;0.03;0;72.58;69.99
6901214;Caju em pasta;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.08;0.03;0.12;0.09;0.03;0;72.58;69.99
6901224;Mariola;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.08;0.03;0.12;0.09;0.03;0;72.58;69.99
6901301;Doce de frutas em calda de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0.02;0.02;0.02;0;0;16.06;11.21
6901401;Doce de frutas cristalizado de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.08;0.03;0.12;0.09;0.03;0;72.58;69.99
6901501;Melado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;42.2;60.8
6901602;Mel ;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;82.13;82.4
6901701;Gelatina de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.04;0;0;0;0;48.9;65.51
6901801;Adocante artificial;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6902004;Merengue;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;85.54;85.21
6902301;Schimier de cana;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;42.2;60.8
6902401;Fruta seca ou desidratada;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.09;0.05;0.06;0.04;0.02;0;38.12;0
6902402;Passa;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.06;0.05;0.04;0.03;0.01;0;57.88;0
6902601;Pudim de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6902607;Danette pudim;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6902701;Manjar;Acucares e produtos de confeitaria ;99;Nao se aplica;118.44;6.63;2.68;0.56;0.43;0.08;0.2;38.63;31.61
6902901;Cuscuz;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.04;0.03;0.09;0.08;0;0;0.72;0
6902902;Cuscuz de tapioca;Acucares e produtos de confeitaria ;99;Nao se aplica;63.11;1.99;1.21;0.35;0.25;0.07;0.1;13.2;8.6
6903001;Mariamole;Acucares e produtos de confeitaria ;99;Nao se aplica;0;17.68;0.85;0.22;0.22;0;0;61.43;61.91
6903101;Cocada;Acucares e produtos de confeitaria ;99;Nao se aplica;0;11.01;0.53;0.14;0.14;0;0;62.21;71.44
6903102;Quebraqueixo;Acucares e produtos de confeitaria ;99;Nao se aplica;0;11.01;0.53;0.14;0.14;0;0;62.21;71.44
6903201;Doce de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;0;4.06;11.76;6.84;6.71;0.07;0.96;39.22;49.15
6903202;Pe de moleque;Acucares e produtos de confeitaria ;99;Nao se aplica;0;2.36;8.44;5.38;5.38;0;0;55.51;58.45
6903203;Pacoca;Acucares e produtos de confeitaria ;99;Nao se aplica;0;2.99;10.68;6.8;6.8;0;0;15.14;13.33
6903204;Torrao de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;0;1.86;15.39;6.02;6.01;0;0.01;47.33;45.45
6903205;Pacoquinha de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;0;2.99;10.68;6.8;6.8;0;0;15.14;13.33
6903207;Amendoim caramelizado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;2.36;8.44;5.38;5.38;0;0;55.51;58.45
6903208;Amendoim amanteigado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;6.83;24.43;15.56;15.56;0;0;4;0
6903209;Amendoim achocolatado;Acucares e produtos de confeitaria ;99;Nao se aplica;9;14.6;12.92;4.33;4.22;0.04;0.04;40.9;37.88
6903303;Amendoim apimentado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;6.83;24.43;15.56;15.56;0;0;4;0
6903304;Amendoim cozido;Acucares e produtos de confeitaria ;99;Nao se aplica;0;3.06;10.92;6.96;6.95;0;0;2.02;0
6903601;Brigadeiro;Acucares e produtos de confeitaria ;99;Nao se aplica;31.69;5.49;3.2;0.94;0.78;0.16;0.59;52.59;43.9
6903701;Bomba de qualquer tipo;Acucares e produtos de confeitaria ;99;Nao se aplica;194.01;15.9;7.7;1.27;1.06;0.16;0.91;4.95;3.57
6903801;Mil folhas;Acucares e produtos de confeitaria ;99;Nao se aplica;56.04;14.38;9.89;3.23;2.98;0.24;2.05;31.5;31.28
6903901;Queijadinha;Acucares e produtos de confeitaria ;99;Nao se aplica;0;11.01;0.53;0.14;0.14;0;0;62.21;71.44
6904101;Doce a base de ovos;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6904104;Cacarola italiana;Acucares e produtos de confeitaria ;99;Nao se aplica;118.44;6.63;2.68;0.56;0.43;0.08;0.2;38.63;31.61
6904105;Quindim;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6904108;Fios de ovos;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6904201;Doce a base de leite;Acucares e produtos de confeitaria ;99;Nao se aplica;33.86;5.46;2.42;0.34;0.22;0.12;0.31;52.51;43.02
6904202;Pave de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;151.85;12.88;7.03;1.25;0.92;0.28;0.94;17.1;14.67
6904203;Ambrosia;Acucares e produtos de confeitaria ;99;Nao se aplica;75.36;1.72;1.18;0.38;0.29;0.07;0.07;23.26;20.45
6904204;Leite geleificado;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6904205;Chandele de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6904302;Mumu ;Acucares e produtos de confeitaria ;99;Nao se aplica;33.86;5.46;2.42;0.34;0.22;0.12;0.31;52.51;43.02
6904401;Canudinho recheado;Acucares e produtos de confeitaria ;99;Nao se aplica;0.28;3.61;0.34;0.28;0.27;0.01;0;8.86;5.57
6904501;Sarolho;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6904502;Beiju;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6904601;Schimier de fruta (exceto de cana);Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.04;0;0;0;0;48.9;65.51
6904701;Beijo de moca;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;99.91;99.98
6904801;Picole ensacado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.05;0.02;0.02;0;0;13.67;19.23
6904807;Geladinho;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.01;0.03;0.02;0.01;0;26.13;29.78
6905001;Churro;Acucares e produtos de confeitaria ;99;Nao se aplica;61.38;14.71;6.03;0.99;0.9;0.1;0.94;24.81;25.54
6905101;Pamonha;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.5;0.7;1.4;1.32;0.09;0.11;0;0
6905401;Algodaodoce;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;99.91;99.98
6905603;IoIo crem (chocolate em creme);Acucares e produtos de confeitaria ;99;Nao se aplica;1;3.98;3.86;0.28;0.25;0.02;0;48.37;38.3
6905801;Ovo de pascoa;Acucares e produtos de confeitaria ;99;Nao se aplica;23;20.78;15.87;1.26;1.06;0.12;0.09;54.8;46.99
6905804;Kinder ovo;Acucares e produtos de confeitaria ;99;Nao se aplica;23;20.78;15.87;1.26;1.06;0.12;0.09;54.8;46.99
6905901;Torrone;Acucares e produtos de confeitaria ;99;Nao se aplica;0;1.86;15.39;6.02;6.01;0;0.01;47.33;45.45
6906001;Arrozdoce;Acucares e produtos de confeitaria ;99;Nao se aplica;6.94;1.32;0.59;0.16;0.1;0.06;0.08;10.76;7.11
6906404;Polpa de coco;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6906501;Diet shake;Acucares e produtos de confeitaria ;99;Nao se aplica;5.27;0.76;0.42;0.41;0.37;0.05;0.01;59.33;39.64
6906502;Concentrado alimentar diet shake;Acucares e produtos de confeitaria ;99;Nao se aplica;5.27;0.76;0.42;0.41;0.37;0.05;0.01;59.33;39.64
6906602;Acucar ;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;99.91;99.98
6907001;Acucar light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6907201;Barra de cereais;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.93;1.71;5.32;5.3;0.02;0.04;37.4;49.22
6907202;Barra de cereais salgada;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.93;1.71;5.32;5.3;0.02;0.04;37.4;49.22
6907203;Barra de cereais doce;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.93;1.71;5.32;5.3;0.02;0.04;37.4;49.22
6907301;Sobremesa de qualquer tipo (exceto infantil);Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6907401;Rabanada;Acucares e produtos de confeitaria ;99;Nao se aplica;38;3.4;9;2.9;2.8;0;0.1;0;0
6907501;Milk shake ;Acucares e produtos de confeitaria ;99;Nao se aplica;25.08;3.96;1.74;0.26;0.16;0.09;0.24;17.79;19.07
6907901;Geleia diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.02;0.09;0.05;0.04;0;3.02;0
6908001;Doce de frutas diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.02;0.09;0.05;0.04;0;3.02;0
6908401;Pasteis de santa clara;Acucares e produtos de confeitaria ;99;Nao se aplica;122.51;2.14;1.66;0.52;0.41;0.06;0.08;15.9;12.02
6908501;Suspiro;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;85.54;85.21
6909301;Doce de frutas cristalizado de qualquer sabor diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.01;0.02;0.09;0.05;0.04;0;3.02;0
6909601;Sorvete de qualquer sabor industrializado light;Acucares e produtos de confeitaria ;99;Nao se aplica;33;4.7;2.1;0.3;0.19;0.11;0.25;22.11;17.46
6909701;Sorvete de qualquer sabor industrializado diet;Acucares e produtos de confeitaria ;99;Nao se aplica;32;6.79;3.17;0.41;0.25;0.16;0.45;5.93;0
6909803;Bala light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6909901;Chiclete diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6909903;Bala diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0
6910002;Barra de chocolate light;Acucares e produtos de confeitaria ;99;Nao se aplica;2.8;21.17;15.73;2.84;2.76;0.05;0.01;31.32;24.57
6910102;Barra de chocolate diet;Acucares e produtos de confeitaria ;99;Nao se aplica;2.8;21.17;15.73;2.84;2.76;0.05;0.01;31.32;24.57
6910221;Achocolatado em po light;Acucares e produtos de confeitaria ;99;Nao se aplica;7.16;1.44;0.76;0.08;0.07;0.01;0.02;46.18;14.16
6910321;Achocolatado em po diet;Acucares e produtos de confeitaria ;99;Nao se aplica;7.16;1.44;0.76;0.08;0.07;0.01;0.02;46.18;14.16
6910322;Toddynho diet;Acucares e produtos de confeitaria ;99;Nao se aplica;9.59;2.01;0.9;0.21;0.14;0.07;0.11;6.24;0
6910401;Bombom de qualquer marca light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;84.44;93.18
6910501;Bombom de qualquer marca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;84.44;93.18
6910502;Bombom caramelizado de qualquer marca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;84.44;93.18
6910601;Geleia de frutas de qualquer marca ou sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.02;0;0.01;0.01;0;0;45.61;36.07
6910604;Geleia light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.02;0;0.01;0.01;0;0;45.61;36.07
6910605;Geleia de frutas light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.02;0;0.01;0.01;0;0;45.61;36.07
6910701;Doce de frutas em barra ou pasta light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.02;0;0.01;0.01;0;0;45.61;36.07
6910702;Doce de frutas em pasta light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.02;0;0.01;0.01;0;0;45.61;36.07
6910801;Pudim de qualquer sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;119.18;1.32;1.3;0.41;0.35;0.01;0.03;15.86;12.02
6910808;Pudim danette light;Acucares e produtos de confeitaria ;99;Nao se aplica;119.18;1.32;1.3;0.41;0.35;0.01;0.03;15.86;12.02
6910901;Pudim de qualquer sabor diet;Acucares e produtos de confeitaria ;99;Nao se aplica;119.18;1.32;1.3;0.41;0.35;0.01;0.03;15.86;12.02
6911201;Doce de leite light;Acucares e produtos de confeitaria ;99;Nao se aplica;13.25;2.08;0.91;0.22;0.13;0.08;0.14;59.91;48.07
6911301;Doce de leite diet;Acucares e produtos de confeitaria ;99;Nao se aplica;13.25;2.08;0.91;0.22;0.13;0.08;0.14;59.91;48.07
6912501;Barra de cereais diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.55;2.8;1.69;1.25;0.44;0.02;38.43;12.43
6912502;Barra de cereais doce diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.55;2.8;1.69;1.25;0.44;0.02;38.43;12.43
6912801;Milk shake diet;Acucares e produtos de confeitaria ;99;Nao se aplica;5.27;0.76;0.42;0.41;0.37;0.05;0.01;59.33;39.64
6913001;Cocada diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;11.01;0.53;0.14;0.14;0;0;62.21;71.44
6913101;Doce de amendoim diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;8.69;25.98;15.29;15.1;0.04;0;4.19;0
6913103;Pacoca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;8.69;25.98;15.29;15.1;0.04;0;4.19;0
6913108;Amendoim amanteigado diet;Acucares e produtos de confeitaria ;99;Nao se aplica;22.75;7.25;8.7;4.45;4.42;0.03;0.35;1.07;0
6913801;Doce a base de leite diet;Acucares e produtos de confeitaria ;99;Nao se aplica;13.25;2.08;0.91;0.22;0.13;0.08;0.14;59.91;48.07
6913901;Gelatina de qualquer sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0.02;0;0.01;0.01;0;0;45.61;36.07
