Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Calcio_(mg);Magnesio _(mg);Manganes _(mg);Fosforo_(mg);Ferro _(mg);Sodio_(mg);Sodio _de _adicao _(mg);Potassio_(mg);Cobre _(mg);Zinco_(mg);Selenio_(mcg)
6900403;Batida (rapadura);Acucares e produtos de confeitaria ;99;Nao se aplica;83;9;0.06;4;0.71;28;0;133;0.05;0.03;1.2
6900501;Sorvete de qualquer sabor industrializado;Acucares e produtos de confeitaria ;99;Nao se aplica;121.67;19;0.05;105.67;0.37;78.67;0;215.65;0.06;0.65;2.03
6900502;Picole de qualquer sabor industrializado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;1;0;0;0.54;7;0;15;0;0.15;0.2
6900601;Chiclete;Acucares e produtos de confeitaria ;99;Nao se aplica;3;1;0.01;1;0.4;44;0;5;0.01;0;0.8
6900603;Bala;Acucares e produtos de confeitaria ;99;Nao se aplica;3;3;0.01;3;0.3;38;0;5;0.03;0.01;0.6
6900604;Caramelo (bala);Acucares e produtos de confeitaria ;99;Nao se aplica;138;17;0.01;114;0.14;245;0;214;0.02;0.44;1.8
6900605;Drops;Acucares e produtos de confeitaria ;99;Nao se aplica;3;3;0.01;3;0.3;38;0;5;0.03;0.01;0.6
6900606;Pastilha;Acucares e produtos de confeitaria ;99;Nao se aplica;3;1;0.01;1;0.4;44;0;5;0.01;0;0.8
6900607;Pirulito;Acucares e produtos de confeitaria ;99;Nao se aplica;3;3;0.01;3;0.3;38;0;5;0.03;0.01;0.6
6900609;Goma de mascar;Acucares e produtos de confeitaria ;99;Nao se aplica;3;1;0.01;1;0.4;44;0;5;0.01;0;0.8
6900610;Jujuba;Acucares e produtos de confeitaria ;99;Nao se aplica;3;2;0.04;4;0.13;50;0;37;0.03;0.05;1.1
6900701;Tablete de chocolate;Acucares e produtos de confeitaria ;99;Nao se aplica;189;63;0.47;208;2.35;79;0;372;0.49;2.3;4.5
6900702;Barra de chocolate;Acucares e produtos de confeitaria ;99;Nao se aplica;189;63;0.47;208;2.35;79;0;372;0.49;2.3;4.5
6900706;Confete;Acucares e produtos de confeitaria ;99;Nao se aplica;105;44;0.33;146;1.11;61;0;261;0.34;1.61;3.3
6900801;Chocolate em po de qualquer marca;Acucares e produtos de confeitaria ;99;Nao se aplica;149.79;38.71;0.19;132.42;0.78;350.14;0;840.69;0.19;0.81;3.87
6900818;Ovomaltine;Acucares e produtos de confeitaria ;99;Nao se aplica;1235;71;0.27;847;9.52;353;0;1235;0.32;0.71;1.6
6900821;Achocolatado em po;Acucares e produtos de confeitaria ;99;Nao se aplica;455;53;0.71;86;0;136;0;280;0.91;6.82;1.9
6900822;Toddynho;Acucares e produtos de confeitaria ;99;Nao se aplica;112.44;13.05;0.08;101.39;0.24;60.23;0;167.65;0.07;0.41;1.91
6900901;Bombom de qualquer marca;Acucares e produtos de confeitaria ;99;Nao se aplica;3;0;0;0;0.01;11;0;4;0;0.04;0.6
6900904;Trufa ;Acucares e produtos de confeitaria ;99;Nao se aplica;35;89.79;0.62;111.74;2.42;14.32;0;293.23;0.54;1.29;3.37
6901001;Geleia de frutas de qualquer marca ou sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;20;4;0.04;19;0.49;32;0;77;0.1;0.06;2
6901002;Mousse de qualquer sabor (Geleia) ;Acucares e produtos de confeitaria ;99;Nao se aplica;49.08;28.74;0.17;97.84;0.97;49.69;0;214.52;0.15;0.71;9.32
6901101;Geleia de mocoto;Acucares e produtos de confeitaria ;99;Nao se aplica;4.29;1.47;0;1.38;0.04;9.01;0;1.81;0.08;0;1.57
6901201;Doce de frutas em pasta de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;6.1;6.6;0.05;12;0.09;0.6;0;126.5;0.07;0.07;0.6
6901203;Pasta de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;43;154;1.47;358;1.87;459;0;649;0.47;2.91;5.6
6901204;Pessegada;Acucares e produtos de confeitaria ;99;Nao se aplica;3;5;0.05;12;0.27;6;0;94;0.06;0.09;0.3
6901206;Marmelada;Acucares e produtos de confeitaria ;99;Nao se aplica;20;4;0.04;19;0.49;32;0;77;0.1;0.06;2
6901209;Figada;Acucares e produtos de confeitaria ;99;Nao se aplica;27;10;0.08;10;0.28;1;0;99;0.11;0.11;0.2
6901211;Goiabada;Acucares e produtos de confeitaria ;99;Nao se aplica;6.1;6.6;0.05;12;0.09;0.6;0;126.5;0.07;0.07;0.6
6901214;Caju em pasta;Acucares e produtos de confeitaria ;99;Nao se aplica;6.1;6.6;0.05;12;0.09;0.6;0;126.5;0.07;0.07;0.6
6901224;Mariola;Acucares e produtos de confeitaria ;99;Nao se aplica;6.1;6.6;0.05;12;0.09;0.6;0;126.5;0.07;0.07;0.6
6901301;Doce de frutas em calda de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;3;5;0.05;12;0.27;6;0;94;0.06;0.09;0.3
6901401;Doce de frutas cristalizado de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;6.1;6.6;0.05;12;0.09;0.6;0;126.5;0.07;0.07;0.6
6901501;Melado;Acucares e produtos de confeitaria ;99;Nao se aplica;102;115;2.62;74;5.4;4;0;395;0.84;0.3;0
6901602;Mel ;Acucares e produtos de confeitaria ;99;Nao se aplica;6;2;0.08;4;0.42;4;0;52;0.04;0.22;0.8
6901701;Gelatina de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;20;4;0.04;19;0.49;32;0;77;0.1;0.06;2
6901801;Adocante artificial;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;240;0;0;0;0;0
6902004;Merengue;Acucares e produtos de confeitaria ;99;Nao se aplica;4.87;6.27;0.01;8.56;0.07;94.73;0;164.82;0.01;0.02;11.9
6902301;Schimier de cana;Acucares e produtos de confeitaria ;99;Nao se aplica;102;115;2.62;74;5.4;4;0;395;0.84;0.3;0
6902401;Fruta seca ou desidratada;Acucares e produtos de confeitaria ;99;Nao se aplica;43;41;0.3;69;0.93;2;0;732;0.28;0.44;0.3
6902402;Passa;Acucares e produtos de confeitaria ;99;Nao se aplica;50;32;0.3;101;1.88;11;0;749;0.32;0.22;0.6
6902601;Pudim de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6902607;Danette pudim;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6902701;Manjar;Acucares e produtos de confeitaria ;99;Nao se aplica;201.26;23.38;0.2;206.83;0.55;129.47;0;289.85;0.04;0.97;14.99
6902901;Cuscuz;Acucares e produtos de confeitaria ;99;Nao se aplica;10.74;15.82;0.27;58.01;0.37;261.48;0;57.49;0.09;0.28;3.75
6902902;Cuscuz de tapioca;Acucares e produtos de confeitaria ;99;Nao se aplica;102.17;9.79;0.01;98.87;0.23;100.38;0;137.7;0.01;0.48;7.16
6903001;Maria mole;Acucares e produtos de confeitaria ;99;Nao se aplica;9.93;28.32;1.39;61.18;1.11;148.99;0;194.42;0.18;1.03;9.72
6903101;Cocada;Acucares e produtos de confeitaria ;99;Nao se aplica;8.3;17.68;0.87;37.45;0.68;107.35;0;119.68;0.11;0.71;6.25
6903102;Quebra queixo;Acucares e produtos de confeitaria ;99;Nao se aplica;8.3;17.68;0.87;37.45;0.68;107.35;0;119.68;0.11;0.71;6.25
6903201;Doce de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;30.14;70.51;0.73;158.43;0.61;221.83;0;291.27;0.22;1.44;1.68
6903202;Pe de moleque;Acucares e produtos de confeitaria ;99;Nao se aplica;50;64.17;0.73;141;4.5;21;0;236.85;0.47;2.31;3.1
6903203;Pacoca;Acucares e produtos de confeitaria ;99;Nao se aplica;32.87;76.73;0.95;158.4;1.72;3.07;0;290.53;0.3;1.49;3.7
6903204;Torrao de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;133.59;134.44;1.16;242.7;1.96;7.08;0;370.23;0.51;1.59;2.26
6903205;Pacoquinha de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;32.87;76.73;0.95;158.4;1.72;3.07;0;290.53;0.3;1.49;3.7
6903207;Amendoim caramelizado;Acucares e produtos de confeitaria ;99;Nao se aplica;50;64.17;0.73;141;4.5;21;0;236.85;0.47;2.31;3.1
6903208;Amendoim amanteigado;Acucares e produtos de confeitaria ;99;Nao se aplica;92;168;1.93;376;4.58;18;0;705;1.14;3.27;7.2
6903209;Amendoim achocolatado;Acucares e produtos de confeitaria ;99;Nao se aplica;104;96;0.95;212;1.31;41;0;502;0.54;2.6;5.4
6903303;Amendoim apimentado;Acucares e produtos de confeitaria ;99;Nao se aplica;92;168;1.93;376;4.58;18;0;705;1.14;3.27;7.2
6903304;Amendoim cozido;Acucares e produtos de confeitaria ;99;Nao se aplica;55;102;1.02;198;1.01;751;0;180;0.5;1.83;4.4
6903601;Brigadeiro;Acucares e produtos de confeitaria ;99;Nao se aplica;266.19;28.88;0.04;241.57;0.33;128.6;0;373.64;0.05;0.95;13.87
6903701;Bomba de qualquer tipo;Acucares e produtos de confeitaria ;99;Nao se aplica;45.49;9.84;0.13;93.2;1.18;50.56;0;92.24;0.04;0.53;15.22
6903801;Mil folhas;Acucares e produtos de confeitaria ;99;Nao se aplica;32.51;6.18;0.1;40.94;0.67;199.14;0;56.87;0.03;0.21;5.3
6903901;Queijadinha;Acucares e produtos de confeitaria ;99;Nao se aplica;8.3;17.68;0.87;37.45;0.68;107.35;0;119.68;0.11;0.71;6.25
6904101;Doce a base de ovos;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6904104;Cacarola italiana;Acucares e produtos de confeitaria ;99;Nao se aplica;201.26;23.38;0.2;206.83;0.55;129.47;0;289.85;0.04;0.97;14.99
6904105;Quindim;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6904108;Fios de ovos;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6904201;Doce a base de leite;Acucares e produtos de confeitaria ;99;Nao se aplica;282.85;25.89;0.01;251.97;0.19;126.48;0;369.49;0.02;0.94;14.74
6904202;Pave de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;66.08;11.99;0.08;96.19;0.9;151.95;0;121.43;0.03;0.51;6.74
6904203;Ambrosia;Acucares e produtos de confeitaria ;99;Nao se aplica;83.71;8.84;0.15;85.23;0.27;46.1;0;114.64;0.01;0.43;7.48
6904204;Leite geleificado;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6904205;Chandele de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6904302;Mumu ;Acucares e produtos de confeitaria ;99;Nao se aplica;282.85;25.89;0.01;251.97;0.19;126.48;0;369.49;0.02;0.94;14.74
6904401;Canudinho recheado;Acucares e produtos de confeitaria ;99;Nao se aplica;2.5;23.94;0.29;61.85;0.45;62.16;0;190.44;0.09;0.59;1.75
6904501;Sarolho;Acucares e produtos de confeitaria ;99;Nao se aplica;4;0;0;0;0.16;1.5;0;0;0;0;0
6904502;Beiju;Acucares e produtos de confeitaria ;99;Nao se aplica;4;0;0;0;0.16;1.5;0;0;0;0;0
6904601;Schimier de fruta (exceto de cana);Acucares e produtos de confeitaria ;99;Nao se aplica;20;4;0.04;19;0.49;32;0;77;0.1;0.06;2
6904701;Beijo de moca;Acucares e produtos de confeitaria ;99;Nao se aplica;1;0;0;0;0.01;0;0;2;0;0;0.6
6904801;Picole ensacado;Acucares e produtos de confeitaria ;99;Nao se aplica;0;1;0;0;0.54;7;0;15;0;0.15;0.2
6904807;Geladinho;Acucares e produtos de confeitaria ;99;Nao se aplica;3.81;1.47;0.07;2.26;0.06;8.64;0;14.88;0.01;0.09;0.26
6905001;Churro;Acucares e produtos de confeitaria ;99;Nao se aplica;12.71;6.96;0.18;35.7;1.25;149.03;0;35.97;0.05;0.22;9.49
6905101;Pamonha;Acucares e produtos de confeitaria ;99;Nao se aplica;4;15;0.12;55;0.4;132;0;125;0.03;0.4;0
6905401;Algodao doce;Acucares e produtos de confeitaria ;99;Nao se aplica;1;0;0;0;0.01;0;0;2;0;0;0.6
6905603;Io Io crem (chocolate em creme);Acucares e produtos de confeitaria ;99;Nao se aplica;49;48;0.37;97;1.3;346;0;284;0.35;0.83;2.3
6905801;Ovo de pascoa;Acucares e produtos de confeitaria ;99;Nao se aplica;189;63;0.47;208;2.35;79;0;372;0.49;2.3;4.5
6905804;Kinder ovo;Acucares e produtos de confeitaria ;99;Nao se aplica;189;63;0.47;208;2.35;79;0;372;0.49;2.3;4.5
6905901;Torrone;Acucares e produtos de confeitaria ;99;Nao se aplica;133.59;134.44;1.16;242.7;1.96;7.08;0;370.23;0.51;1.59;2.26
6906001;Arroz doce;Acucares e produtos de confeitaria ;99;Nao se aplica;82.04;10.74;0.15;76.17;0.39;50.79;0;109.98;0.03;0.43;4.88
6906404;Polpa de coco;Acucares e produtos de confeitaria ;99;Nao se aplica;7;41;0.77;107;1.7;11;0;370;0.42;0.9;0
6906501;Diet shake;Acucares e produtos de confeitaria ;99;Nao se aplica;536.58;357.14;0.27;366.6;22.86;395.27;0;928.75;0.71;16.07;11.73
6906502;Concentrado alimentar diet shake;Acucares e produtos de confeitaria ;99;Nao se aplica;536.58;357.14;0.27;366.6;22.86;395.27;0;928.75;0.71;16.07;11.73
6906602;Acucar ;Acucares e produtos de confeitaria ;99;Nao se aplica;1;0;0;0;0.01;0;0;2;0;0;0.6
6907001;Acucar light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0
6907201;Barra de cereais;Acucares e produtos de confeitaria ;99;Nao se aplica;540.54;28.55;0.68;76.79;4.86;284.16;0;80.58;0.08;4.05;11.34
6907202;Barra de cereais salgada;Acucares e produtos de confeitaria ;99;Nao se aplica;540.54;28.55;0.68;76.79;4.86;284.16;0;80.58;0.08;4.05;11.34
6907203;Barra de cereais doce;Acucares e produtos de confeitaria ;99;Nao se aplica;540.54;28.55;0.68;76.79;4.86;284.16;0;80.58;0.08;4.05;11.34
6907301;Sobremesa de qualquer tipo (exceto infantil);Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6907401;Rabanada;Acucares e produtos de confeitaria ;99;Nao se aplica;101;13;0;102;0.5;85;0;159;0;0.6;0
6907501;Milk shake ;Acucares e produtos de confeitaria ;99;Nao se aplica;103.02;20.4;0.06;101.82;0.38;64.45;0;181.47;0.09;0.6;1.89
6907901;Geleia diet;Acucares e produtos de confeitaria ;99;Nao se aplica;11.05;7.52;0.21;13.2;0.23;1.2;0;85.44;0.03;0.08;0.22
6908001;Doce de frutas diet;Acucares e produtos de confeitaria ;99;Nao se aplica;11.05;7.52;0.21;13.2;0.23;1.2;0;85.44;0.03;0.08;0.22
6908401;Pasteis de santa clara;Acucares e produtos de confeitaria ;99;Nao se aplica;89.2;9.49;0.01;107.71;0.35;60.62;0;131.17;0.01;0.55;10.95
6908501;Suspiro;Acucares e produtos de confeitaria ;99;Nao se aplica;4.87;6.27;0.01;8.56;0.07;94.73;0;164.82;0.01;0.02;11.9
6909301;Doce de frutas cristalizado de qualquer sabor diet;Acucares e produtos de confeitaria ;99;Nao se aplica;11.05;7.52;0.21;13.2;0.23;1.2;0;85.44;0.03;0.08;0.22
6909601;Sorvete de qualquer sabor industrializado light;Acucares e produtos de confeitaria ;99;Nao se aplica;149.33;16;0.04;97.01;0.32;75;0;192.35;0.05;0.62;2
6909701;Sorvete de qualquer sabor industrializado diet;Acucares e produtos de confeitaria ;99;Nao se aplica;128;14;0.01;105;0.09;48;0;199;0.02;0.69;2.6
6909803;Bala light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0
6909901;Chiclete diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0
6909903;Bala diet;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;0;0;0;0;0;0
6910002;Barra de chocolate light;Acucares e produtos de confeitaria ;99;Nao se aplica;246.46;107.47;0.97;285.97;3.24;165.82;0;495.73;0.7;2.59;5.99
6910102;Barra de chocolate diet;Acucares e produtos de confeitaria ;99;Nao se aplica;246.46;107.47;0.97;285.97;3.24;165.82;0;495.73;0.7;2.59;5.99
6910221;Achocolatado em po light;Acucares e produtos de confeitaria ;99;Nao se aplica;664.34;146.47;0.52;709.95;2.21;1236.82;0;1254.96;0.53;3.7;17.08
6910321;Achocolatado em po diet;Acucares e produtos de confeitaria ;99;Nao se aplica;664.18;146.46;0.52;709.95;2.2;978.44;0;1254.91;0.53;3.7;17.08
6910322;Toddynho diet;Acucares e produtos de confeitaria ;99;Nao se aplica;147.69;17.76;0.08;115.69;0.17;71.79;0;188.49;0.09;0.97;4.12
6910401;Bombom de qualquer marca light;Acucares e produtos de confeitaria ;99;Nao se aplica;3;0;0;0;0.01;11;0;4;0;0.04;0.6
6910501;Bombom de qualquer marca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;3;0;0;0;0.01;11;0;4;0;0.04;0.6
6910502;Bombom caramelizado de qualquer marca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;3;0;0;0;0.01;11;0;4;0;0.04;0.6
6910601;Geleia de frutas de qualquer marca ou sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;9.23;6.76;0.23;6.97;0.16;2.01;0;86.85;0.02;0.03;0.28
6910604;Geleia light;Acucares e produtos de confeitaria ;99;Nao se aplica;9.23;6.76;0.23;6.97;0.16;2.01;0;86.85;0.02;0.03;0.28
6910605;Geleia de frutas light;Acucares e produtos de confeitaria ;99;Nao se aplica;9.23;6.76;0.23;6.97;0.16;2.01;0;86.85;0.02;0.03;0.28
6910701;Doce de frutas em barra ou pasta light;Acucares e produtos de confeitaria ;99;Nao se aplica;9.23;6.76;0.23;6.97;0.16;2.01;0;86.85;0.02;0.03;0.28
6910702;Doce de frutas em pasta light;Acucares e produtos de confeitaria ;99;Nao se aplica;9.23;6.76;0.23;6.97;0.16;2.01;0;86.85;0.02;0.03;0.28
6910801;Pudim de qualquer sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;93.2;10.16;0.01;110.38;0.35;63.28;0;135.84;0.01;0.57;10.69
6910808;Pudim danette light;Acucares e produtos de confeitaria ;99;Nao se aplica;93.2;10.16;0.01;110.38;0.35;63.28;0;135.84;0.01;0.57;10.69
6910901;Pudim de qualquer sabor diet;Acucares e produtos de confeitaria ;99;Nao se aplica;93.2;10.16;0.01;110.38;0.35;63.28;0;135.84;0.01;0.57;10.69
6911201;Doce de leite light;Acucares e produtos de confeitaria ;99;Nao se aplica;274.57;24.18;0.01;221.14;0.07;94.3;0;345.17;0.03;0.94;8.06
6911301;Doce de leite diet;Acucares e produtos de confeitaria ;99;Nao se aplica;274.57;24.18;0.01;221.14;0.07;94.3;0;345.17;0.03;0.94;8.06
6912501;Barra de cereais diet;Acucares e produtos de confeitaria ;99;Nao se aplica;74.97;68.29;2.27;156.08;1.88;230.51;0;421.89;0.29;1.21;12.26
6912502;Barra de cereais doce diet;Acucares e produtos de confeitaria ;99;Nao se aplica;74.97;68.29;2.27;156.08;1.88;230.51;0;421.89;0.29;1.21;12.26
6912801;Milk shake diet;Acucares e produtos de confeitaria ;99;Nao se aplica;536.58;357.14;0.27;366.6;22.86;395.27;0;928.75;0.71;16.07;11.73
6913001;Cocada diet;Acucares e produtos de confeitaria ;99;Nao se aplica;8.3;17.68;0.87;37.45;0.68;107.35;0;119.68;0.11;0.71;6.25
6913101;Doce de amendoim diet;Acucares e produtos de confeitaria ;99;Nao se aplica;61;176;1.85;397;1.52;6;0;726;0.53;3.28;3.3
6913103;Pacoca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;61;176;1.85;397;1.52;6;0;726;0.53;3.28;3.3
6913108;Amendoim amanteigado diet;Acucares e produtos de confeitaria ;99;Nao se aplica;28.39;46.65;0.55;110.61;1.53;309.23;0;191.09;0.34;0.92;3.86
6913801;Doce a base de leite diet;Acucares e produtos de confeitaria ;99;Nao se aplica;274.57;24.18;0.01;221.14;0.07;94.3;0;345.17;0.03;0.94;8.06
6913901;Gelatina de qualquer sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;9.23;6.76;0.23;6.97;0.16;2.01;0;86.85;0.02;0.03;0.28
6914001;Adocante light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0.04;0;0;4;0;0.01;0.5
6914002;Adocante em po light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0.04;0;0;4;0;0.01;0.5
6914003;Adocante liquido light;Acucares e produtos de confeitaria ;99;Nao se aplica;0;0;0;0;0;240;0;0;0;0;0
7001501;Mostarda molho;Sais e condimentos;99;Nao se aplica;58;49;0.42;106;1.51;1135;0;138;0.09;0.64;32.9
7002304;Hortela;Sais e condimentos;99;Nao se aplica;2;1;0.04;0;0.08;1;0;9.01;0.02;0.04;0
7002401;Alcaparra em conserva;Sais e condimentos;99;Nao se aplica;40;33;0.08;10;1.67;2964;0;40;0.37;0.32;1.2
7002601;Coentro;Sais e condimentos;99;Nao se aplica;1246;694;6.36;481;42.46;211;0;4466;1.79;4.72;29.3
7003601;Molho de soja;Sais e condimentos;99;Nao se aplica;19;43;0.42;125;1.93;5637;0;217;0.1;0.52;0.5
7003604;Shoyo;Sais e condimentos;99;Nao se aplica;19;43;0.42;125;1.93;5637;0;217;0.1;0.52;0.5
7003801;Leite de coco;Sais e condimentos;99;Nao se aplica;4.01;32.07;0.81;59.13;0.81;12.03;0;232.53;0.24;0.59;3.71
7004301;Maionese (molho);Sais e condimentos;99;Nao se aplica;5.76;0.78;0.02;11.68;0.13;831.34;0;7.92;0.01;0.08;12.02
7004701;Massa de tomate;Sais e condimentos;99;Nao se aplica;18;23;0.17;40;1.78;393;0;439;0.29;0.36;0.7
7004801;Molho de tomate;Sais e condimentos;99;Nao se aplica;13;16;0.11;26;1.02;524;0;331;0.12;0.2;0.2
7004802;Ketchup;Sais e condimentos;99;Nao se aplica;18;19;0.13;33;0.51;1114;0;382;0.18;0.26;0.3
7004803;Catchup;Sais e condimentos;99;Nao se aplica;18;19;0.13;33;0.51;1114;0;382;0.18;0.26;0.3
7006101;Pimenta em po;Sais e condimentos;99;Nao se aplica;437;194;5.63;173;28.86;44;0;1259;1.13;1.42;3.1
7007101;Tucupi em caldo sem pimenta;Sais e condimentos;99;Nao se aplica;2.4;0.61;0;0.47;0.01;400.06;0;3.33;0;0;0.02
7007502;Creme de queijo;Sais e condimentos;99;Nao se aplica;287.52;15.68;0.03;217.1;0.24;208.56;0;138.69;0.02;1.19;9.55
7007701;Caldo de peixe;Sais e condimentos;99;Nao se aplica;30;1;0.03;30;0.21;318;0;86;0.05;0.1;0.7
7007901;Caldo de tomate;Sais e condimentos;99;Nao se aplica;6.2;5.16;0.06;11.02;0.43;305.05;0;88.3;0.05;0.09;1.95
7009102;Gergelim;Sais e condimentos;99;Nao se aplica;60;345;1.44;667;6.36;47;0;370;1.4;6.73;97.5
7010301;Tomate seco;Sais e condimentos;99;Nao se aplica;47;81;0.47;139;2.68;266;0;1565;0.47;0.78;3
7010401;Maionese (molho) light;Sais e condimentos;99;Nao se aplica;12.72;1.86;0.02;11.99;0.19;876.69;0;14.56;0.01;0.08;5.85
7010501;Molho de soja light;Sais e condimentos;99;Nao se aplica;17.04;34.08;0.43;110.26;2.03;3341.01;0;180.43;0.12;0.37;0.8
7010601;Leite de coco light;Sais e condimentos;99;Nao se aplica;4.01;32.07;0.81;59.13;0.81;12.03;0;232.53;0.24;0.59;3.71
7079202;Vinagrete;Sais e condimentos;99;Nao se aplica;19.92;10.15;0.16;19.03;0.65;1299.77;0;156.7;0.04;0.17;0.15
7100101;File mignon;Carnes e visceras;2;Cozido(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
7100101;File mignon;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
7100101;File mignon;Carnes e visceras;4;Assado(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
7100101;File mignon;Carnes e visceras;5;Frito(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;32.88
7100101;File mignon;Carnes e visceras;6;Empanado(a)/a milanesa;7.67;20.98;0.04;197.8;2.74;41.09;333;256.76;0.08;5.23;34.38
7100101;File mignon;Carnes e visceras;7;Refogado(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;32.88
7100101;File mignon;Carnes e visceras;8;Molho vermelho;8.2;19.2;0.03;159.6;2.23;137.6;333;267.8;0.08;4.2;25.4
7100101;File mignon;Carnes e visceras;9;Molho branco;28.48;18.31;0.02;174.09;2.09;53.72;333;231.65;0.06;4.25;26.53
7100101;File mignon;Carnes e visceras;11;Com manteiga/oleo;7.64;20.05;0.01;193.64;2.53;56.37;333;252.64;0.07;5.2;31.73
7100101;File mignon;Carnes e visceras;99;Nao se aplica;7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
7100201;Contrafile;Carnes e visceras;2;Cozido(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
7100201;Contrafile;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
7100201;Contrafile;Carnes e visceras;4;Assado(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
7100201;Contrafile;Carnes e visceras;5;Frito(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;32.88
7100201;Contrafile;Carnes e visceras;6;Empanado(a)/a milanesa;7.67;20.98;0.04;197.8;2.74;41.09;333;256.76;0.08;5.23;34.38
7100201;Contrafile;Carnes e visceras;7;Refogado(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;32.88
7100201;Contrafile;Carnes e visceras;8;Molho vermelho;8.2;19.2;0.03;159.6;2.23;137.6;333;267.8;0.08;4.2;25.4
7100205;Bisteca bovina;Carnes e visceras;1;Cru(a);12;15;0.01;162;2.31;50;333;224;0.1;4.88;20.8
7100205;Bisteca bovina;Carnes e visceras;2;Cozido(a);12;15;0.01;162;2.31;50;333;224;0.1;4.88;20.8
7100205;Bisteca bovina;Carnes e visceras;3;Grelhado(a)/brasa/churrasco;12;15;0.01;162;2.31;50;333;224;0.1;4.88;20.8
7100205;Bisteca bovina;Carnes e visceras;4;Assado(a);12;15;0.01;162;2.31;50;333;224;0.1;4.88;20.8
7100205;Bisteca bovina;Carnes e visceras;5;Frito(a);12;15;0.01;162;2.31;50;333;224;0.1;4.88;20.8
7100205;Bisteca bovina;Carnes e visceras;6;Empanado(a)/a milanesa;19.67;22.98;0.04;205.8;1.87;53.09;333;327.76;0.08;4.7;30.68
7100205;Bisteca bovina;Carnes e visceras;7;Refogado(a);12;15;0.01;162;2.31;50;333;224;0.1;4.88;20.8
7100205;Bisteca bovina;Carnes e visceras;8;Molho vermelho;12.2;15.2;0.03;134.8;2.05;144.8;333;245.4;0.1;3.94;16.68
7100301;Alcatra;Carnes e visceras;1;Cru(a);7;20;0.01;193;2.53;41;333;252;0.07;5.2;31.7
