Codigo_do_alimento ;Descricao_do_alimento ;Tipo;Codigo_da_preparacao;Descricao_da_preparacao;Calcio_(mg);Magnesio _(mg);Manganes _(mg);Fosforo_(mg);Ferro _(mg);Sodio_(mg);Sodio _de _adicao _(mg);Potassio_(mg);Cobre _(mg);Zinco_(mg);Selenio_(mcg)
6400101;Batata inglesa;Hortalicas tuberosas;8;Molho vermelho;9;19.2;0.13;37.2;0.45;108.8;242;328.6;0.16;0.26;0.28
6400101;Batata inglesa;Hortalicas tuberosas;9;Molho branco;29.28;18.31;0.12;51.69;0.32;24.92;242;292.45;0.14;0.31;1.41
6400101;Batata inglesa;Hortalicas tuberosas;10;Ao alho e oleo;13.43;33.58;0.24;67.17;0.53;8.4;380;550.76;0.28;0.46;6.68
6400101;Batata inglesa;Hortalicas tuberosas;11;Com manteiga/oleo;8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
6400101;Batata inglesa;Hortalicas tuberosas;13;Ensopado;8;20;0.14;40;0.31;5;242;328;0.17;0.27;1.63
6400101;Batata inglesa;Hortalicas tuberosas;15;Sopa;8.56;6.35;0.07;15.76;0.29;310.43;0;88.32;0.04;0.12;1.34
6400101;Batata inglesa;Hortalicas tuberosas;99;Nao se aplica;8;20;0.14;40;0.31;5;242;328;0.17;0.27;0.3
6400303;Mandioquinha salsa (batata baroa);Hortalicas tuberosas;2;Cozido(a);27;18;0.27;32;0.72;27;148;230;0.09;0.2;0.2
6400303;Mandioquinha salsa (batata baroa);Hortalicas tuberosas;7;Refogado(a);27;18;0.27;32;0.72;27;148;230;0.09;0.2;1.02
6400303;Mandioquinha salsa (batata baroa);Hortalicas tuberosas;13;Ensopado;27;18;0.27;32;0.72;27;148;230;0.09;0.2;1.02
6400303;Mandioquinha salsa (batata baroa);Hortalicas tuberosas;99;Nao se aplica;27;18;0.27;32;0.72;27;148;230;0.09;0.2;0.2
6400304;Cenoura amarela (batata baroa);Hortalicas tuberosas;99;Nao se aplica;27;18;0.27;32;0.72;27;148;230;0.09;0.2;0.2
