Codigo_do_alimento;Descricao_do_alimento;Tipo;Codigo_da_preparacao;Descricao_da_preparacao; Energia_(kcal) ;Proteina_(g); Lipidios_totais_(g) ; Carboidrato_(g) ; Fibra_alimentar_total_(g) 
6804901;Jabuticaba;Frutas;99;Nao se aplica;73,00;0,66;0,50;18,40;7,00
6805001;Graviola;Frutas;99;Nao se aplica;62,00;0,80;0,20;15,80;1,90
6805201;Morango;Frutas;99;Nao se aplica;32,00;0,67;0,30;7,68;2,00
6805301;Jambo;Frutas;99;Nao se aplica;27,00;0,90;0,10;6,50;5,10
6805401;Atemoia ;Frutas;99;Nao se aplica;74,00;1,65;0,62;17,70;2,30
6805601;Mangaba;Frutas;99;Nao se aplica;43,00;0,70;0,30;10,50;0,80
6805701;Araca;Frutas;99;Nao se aplica;68,00;2,55;0,95;14,32;5,40
6805801;Nespera;Frutas;99;Nao se aplica;47,00;0,43;0,20;12,14;1,70
6805901;Fruta0pao;Frutas;99;Nao se aplica;103,00;1,07;0,23;27,12;4,90
6806001;Sapoti;Frutas;99;Nao se aplica;96,00;0,70;0,10;25,90;9,90
6806101;Uxi;Frutas;99;Nao se aplica;252,00;2,20;10,10;38,20;20,50
6806201;Tamarindo;Frutas;99;Nao se aplica;239,00;2,80;0,60;62,50;5,10
6806301;Cacau;Frutas;99;Nao se aplica;74,00;1,00;0,10;19,40;2,20
6806401;Pitomba ;Frutas;99;Nao se aplica;66,00;0,83;0,44;16,53;1,30
6806501;Bacuri;Frutas;99;Nao se aplica;105,00;1,90;2,00;22,80;7,40
6806601;Inga;Frutas;99;Nao se aplica;60,00;1,00;0,10;15,50;1,20
6806701;Pequi;Frutas;99;Nao se aplica;152,00;1,50;13,40;6,30;4,70
6806801;Pitanga ;Frutas;99;Nao se aplica;41,00;0,90;0,20;10,20;3,20
6806901;Ciriguela;Frutas;99;Nao se aplica;76,00;1,40;0,40;18,90;3,90
6807001;Murici;Frutas;99;Nao se aplica;66,00;0,90;1,30;14,40;2,20
6807101;Umbu;Frutas;99;Nao se aplica;37,00;0,80;    ;9,40;2,00
6807103;Imbu;Frutas;99;Nao se aplica;37,00;0,80;    ;9,40;2,00
6807202;Biriba;Frutas;99;Nao se aplica;74,00;1,65;0,62;17,70;2,30
6807301;Cupuacu;Frutas;99;Nao se aplica;49,00;1,20;1,00;10,40;3,10
6807401;Nectarina;Frutas;99;Nao se aplica;44,00;1,06;0,32;10,55;1,70
6807501;Mari;Frutas;99;Nao se aplica;281,10;2,70;21,10;20,10;    
6807601;Roma;Frutas;99;Nao se aplica;56,00;0,40;    ;15,10;0,40
6807701;Acerola;Frutas;99;Nao se aplica;32,00;0,40;0,30;7,69;1,10
6807801;Kiwi;Frutas;99;Nao se aplica;61,00;1,14;0,52;14,66;3,00
6808001;Abiu;Frutas;99;Nao se aplica;62,00;0,80;0,70;14,90;1,70
6808201;Jurubeba;Frutas;99;Nao se aplica;126,00;4,40;3,90;23,10;1,20
6808401;Fruta (nao especificada);Frutas;99;Nao se aplica;89,00;1,09;0,33;22,84;2,60
6808601;Maca organica;Frutas;99;Nao se aplica;52,00;0,26;0,17;13,81;2,40
6808901;Acerola organica;Frutas;99;Nao se aplica;32,00;0,40;0,30;7,69;1,10
6809901;Amora;Frutas;99;Nao se aplica;43,00;1,39;0,49;9,61;5,30
6810201;Jamelao (jamburao);Frutas;99;Nao se aplica;73,00;0,66;0,50;18,40;7,00
6900302;Demerara;Acucares e produtos de confeitaria ;99;Nao se aplica;387,00;0,00;    ;99,98;    
6900304;Acucar mascavo;Acucares e produtos de confeitaria ;99;Nao se aplica;380,00;0,12;    ;98,09;    
6900401;Rapadura;Acucares e produtos de confeitaria ;99;Nao se aplica;296,00;0,00;    ;76,60;    
6900402;Alfenim de cana;Acucares e produtos de confeitaria ;99;Nao se aplica;296,00;0,00;    ;76,60;    
6900403;Batida (rapadura);Acucares e produtos de confeitaria ;99;Nao se aplica;380,00;0,12;    ;98,09;    
6900501;Sorvete de qualquer sabor industrializado;Acucares e produtos de confeitaria ;99;Nao se aplica;206,00;3,60;11,00;25,13;0,87
6900502;Picole de qualquer sabor industrializado;Acucares e produtos de confeitaria ;99;Nao se aplica;79,00;0,00;0,24;19,23;    
6900601;Chiclete;Acucares e produtos de confeitaria ;99;Nao se aplica;396,00;0,00;    ;98,90;0,10
6900603;Bala;Acucares e produtos de confeitaria ;99;Nao se aplica;394,00;0,00;0,20;98,00;    
6900604;Caramelo (bala);Acucares e produtos de confeitaria ;99;Nao se aplica;382,00;4,60;8,10;77,00;    
6900605;Drops;Acucares e produtos de confeitaria ;99;Nao se aplica;394,00;0,00;0,20;98,00;    
6900606;Pastilha;Acucares e produtos de confeitaria ;99;Nao se aplica;396,00;0,00;    ;98,90;0,10
6900607;Pirulito;Acucares e produtos de confeitaria ;99;Nao se aplica;394,00;0,00;0,20;98,00;    
6900609;Goma de mascar;Acucares e produtos de confeitaria ;99;Nao se aplica;396,00;0,00;    ;98,90;0,10
6900610;Jujuba;Acucares e produtos de confeitaria ;99;Nao se aplica;375,00;0,00;0,05;93,55;0,20
6900701;Tablete de chocolate;Acucares e produtos de confeitaria ;99;Nao se aplica;535,00;7,65;29,66;59,40;3,40
6900702;Barra de chocolate;Acucares e produtos de confeitaria ;99;Nao se aplica;535,00;7,65;29,66;59,40;3,40
6900706;Confete;Acucares e produtos de confeitaria ;99;Nao se aplica;492,00;4,33;21,13;71,19;2,80
6900801;Chocolate em po de qualquer marca;Acucares e produtos de confeitaria ;99;Nao se aplica;364,24;2,83;3,55;85,53;1,66
6900818;Ovomaltine;Acucares e produtos de confeitaria ;99;Nao se aplica;388,00;9,17;5,19;75,13;1,98
6900821;Achocolatado em po;Acucares e produtos de confeitaria ;99;Nao se aplica;400,00;4,55;2,27;90,28;4,50
6900822;Toddynho;Acucares e produtos de confeitaria ;99;Nao se aplica;83,32;3,18;3,40;10,38;0,80
6900901;Bombom de qualquer marca;Acucares e produtos de confeitaria ;99;Nao se aplica;373,00;0,00;0,02;93,18;    
6900904;Trufa ;Acucares e produtos de confeitaria ;99;Nao se aplica;487,87;3,57;36,26;49,06;4,55
6901001;Geleia de frutas de qualquer marca ou sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;278,00;0,37;0,07;68,86;1,10
6901002;Mousse de qualquer sabor (Geleia) ;Acucares e produtos de confeitaria ;99;Nao se aplica;331,89;5,09;21,87;32,19;1,18
6901101;Geleia de mocoto;Acucares e produtos de confeitaria ;99;Nao se aplica;120,25;3,04;    ;27,99;    
6901201;Doce de frutas em pasta de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;291,30;0,77;0,29;74,28;1,62
6901203;Pasta de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;588,00;25,09;50,39;19,56;6,00
6901204;Pessegada;Acucares e produtos de confeitaria ;99;Nao se aplica;77,00;0,54;0,14;19,79;2,20
6901206;Marmelada;Acucares e produtos de confeitaria ;99;Nao se aplica;278,00;0,37;0,07;68,86;1,10
6901209;Figada;Acucares e produtos de confeitaria ;99;Nao se aplica;88,00;0,38;0,10;22,90;2,20
6901211;Goiabada;Acucares e produtos de confeitaria ;99;Nao se aplica;291,30;0,77;0,29;74,28;1,62
6901214;Caju em pasta;Acucares e produtos de confeitaria ;99;Nao se aplica;291,30;0,77;0,29;74,28;1,62
6901224;Mariola;Acucares e produtos de confeitaria ;99;Nao se aplica;291,30;0,77;0,29;74,28;1,62
6901301;Doce de frutas em calda de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;77,00;0,54;0,14;19,79;2,20
6901401;Doce de frutas cristalizado de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;291,30;0,77;0,29;74,28;1,62
6901501;Melado;Acucares e produtos de confeitaria ;99;Nao se aplica;296,00;0,00;    ;76,60;    
6901602;Mel ;Acucares e produtos de confeitaria ;99;Nao se aplica;304,00;0,30;    ;82,40;0,20
6901701;Gelatina de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;278,00;0,37;0,07;68,86;1,10
6901801;Adocante artificial;Acucares e produtos de confeitaria ;99;Nao se aplica;    ;0,00;    ;    ;    
6902004;Merengue;Acucares e produtos de confeitaria ;99;Nao se aplica;358,26;6,21;0,10;85,89;    
6902301;Schimier de cana;Acucares e produtos de confeitaria ;99;Nao se aplica;296,00;0,00;    ;76,60;    
6902401;Fruta seca ou desidratada;Acucares e produtos de confeitaria ;99;Nao se aplica;240,00;2,18;0,38;63,88;7,10
6902402;Passa;Acucares e produtos de confeitaria ;99;Nao se aplica;299,00;3,07;0,46;79,18;3,70
6902601;Pudim de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6902607;Danette pudim;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6902701;Manjar;Acucares e produtos de confeitaria ;99;Nao se aplica;284,98;8,20;10,74;40,14;0,34
6902901;Cuscuz;Acucares e produtos de confeitaria ;99;Nao se aplica;128,30;4,35;0,22;26,42;1,71
6902902;Cuscuz de tapioca;Acucares e produtos de confeitaria ;99;Nao se aplica;116,99;4,33;4,10;15,51;0,03
6903001;Maria0mole;Acucares e produtos de confeitaria ;99;Nao se aplica;444,92;1,64;19,94;68,84;2,59
6903101;Cocada;Acucares e produtos de confeitaria ;99;Nao se aplica;404,80;1,01;12,46;75,65;1,58
6903102;Quebra0queixo;Acucares e produtos de confeitaria ;99;Nao se aplica;404,80;1,01;12,46;75,65;1,58
6903201;Doce de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;451,58;11,16;23,89;55,29;3,73
6903202;Pe de moleque;Acucares e produtos de confeitaria ;99;Nao se aplica;474,00;9,10;17,91;69,20;2,42
6903203;Pacoca;Acucares e produtos de confeitaria ;99;Nao se aplica;472,17;10,35;21,53;64,04;3,89
6903204;Torrao de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;460,34;11,01;24,64;56,27;6,13
6903205;Pacoquinha de amendoim;Acucares e produtos de confeitaria ;99;Nao se aplica;472,17;10,35;21,53;64,04;3,89
6903207;Amendoim caramelizado;Acucares e produtos de confeitaria ;99;Nao se aplica;474,00;9,10;17,91;69,20;2,42
6903208;Amendoim amanteigado;Acucares e produtos de confeitaria ;99;Nao se aplica;567,00;25,80;49,24;16,13;8,50
6903209;Amendoim achocolatado;Acucares e produtos de confeitaria ;99;Nao se aplica;519,00;13,10;33,50;49,70;4,70
6903303;Amendoim apimentado;Acucares e produtos de confeitaria ;99;Nao se aplica;567,00;25,80;49,24;16,13;8,50
6903304;Amendoim cozido;Acucares e produtos de confeitaria ;99;Nao se aplica;318,00;13,50;22,01;21,26;8,80
6903601;Brigadeiro;Acucares e produtos de confeitaria ;99;Nao se aplica;334,48;7,52;10,14;54,86;0,23
6903701;Bomba de qualquer tipo;Acucares e produtos de confeitaria ;99;Nao se aplica;339,26;6,32;26,93;18,55;0,54
6903801;Mil folhas;Acucares e produtos de confeitaria ;99;Nao se aplica;440,33;2,36;29,03;43,22;0,43
6903901;Queijadinha;Acucares e produtos de confeitaria ;99;Nao se aplica;404,80;1,01;12,46;75,65;1,58
6904101;Doce à base de ovos;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6904104;Cacarola italiana;Acucares e produtos de confeitaria ;99;Nao se aplica;284,98;8,20;10,74;40,14;0,34
6904105;Quindim;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6904108;Fios de ovos;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6904201;Doce à base de leite;Acucares e produtos de confeitaria ;99;Nao se aplica;319,70;7,88;8,67;54,18;    
6904202;Pave de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;306,43;4,94;22,24;21,59;0,36
6904203;Ambrosia;Acucares e produtos de confeitaria ;99;Nao se aplica;144,23;4,09;3,84;23,88;0,26
6904204;Leite geleificado;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6904205;Chandele de qualquer sabor;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6904302;Mumu ;Acucares e produtos de confeitaria ;99;Nao se aplica;319,70;7,88;8,67;54,18;    
6904401;Canudinho recheado;Acucares e produtos de confeitaria ;99;Nao se aplica;123,26;2,43;4,50;21,33;2,22
6904501;Sarolho;Acucares e produtos de confeitaria ;99;Nao se aplica;336,00;2,00;    ;82,00;    
6904502;Beiju;Acucares e produtos de confeitaria ;99;Nao se aplica;336,00;2,00;    ;82,00;    
6904601;Schimier de fruta (exceto de cana);Acucares e produtos de confeitaria ;99;Nao se aplica;278,00;0,37;0,07;68,86;1,10
6904701;Beijo de moca;Acucares e produtos de confeitaria ;99;Nao se aplica;387,00;0,00;    ;99,98;    
6904801;Picole ensacado;Acucares e produtos de confeitaria ;99;Nao se aplica;79,00;0,00;0,24;19,23;    
6904807;Geladinho;Acucares e produtos de confeitaria ;99;Nao se aplica;122,69;0,14;0,09;32,51;0,45
6905001;Churro;Acucares e produtos de confeitaria ;99;Nao se aplica;401,66;3,00;23,44;45,94;0,81
6905101;Pamonha;Acucares e produtos de confeitaria ;99;Nao se aplica;171,00;2,60;4,80;30,70;2,40
6905401;Algodao0doce;Acucares e produtos de confeitaria ;99;Nao se aplica;387,00;0,00;    ;99,98;    
6905603;Io0Iô crem (chocolate em creme);Acucares e produtos de confeitaria ;99;Nao se aplica;350,00;4,60;8,90;62,90;2,80
6905801;Ovo de pascoa;Acucares e produtos de confeitaria ;99;Nao se aplica;535,00;7,65;29,66;59,40;3,40
6905804;Kinder ovo;Acucares e produtos de confeitaria ;99;Nao se aplica;535,00;7,65;29,66;59,40;3,40
6905901;Torrone;Acucares e produtos de confeitaria ;99;Nao se aplica;460,34;11,01;24,64;56,27;6,13
6906001;Arroz0doce;Acucares e produtos de confeitaria ;99;Nao se aplica;108,49;3,05;2,34;18,77;0,10
6906404;Polpa de coco;Acucares e produtos de confeitaria ;99;Nao se aplica;402,00;3,80;41,70;9,80;5,00
6906501;Diet shake;Acucares e produtos de confeitaria ;99;Nao se aplica;335,52;19,19;1,87;69,94;7,39
6906502;Concentrado alimentar diet shake;Acucares e produtos de confeitaria ;99;Nao se aplica;335,52;19,19;1,87;69,94;7,39
6906602;Acucar ;Acucares e produtos de confeitaria ;99;Nao se aplica;387,00;0,00;    ;99,98;    
6907001;Acucar light;Acucares e produtos de confeitaria ;99;Nao se aplica;400,00;0,00;    ;100,00;    
6907201;Barra de cereais;Acucares e produtos de confeitaria ;99;Nao se aplica;352,92;3,17;8,55;69,44;2,32
6907202;Barra de cereais salgada;Acucares e produtos de confeitaria ;99;Nao se aplica;352,92;3,17;8,55;69,44;2,32
6907203;Barra de cereais doce;Acucares e produtos de confeitaria ;99;Nao se aplica;352,92;3,17;8,55;69,44;2,32
6907301;Sobremesa de qualquer tipo (exceto infantil);Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6907401;Rabanada;Acucares e produtos de confeitaria ;99;Nao se aplica;293,00;4,70;16,60;31,30;0,50
6907501;Milk shake ;Acucares e produtos de confeitaria ;99;Nao se aplica;161,09;3,11;6,43;23,49;0,76
6907901;Geleia diet;Acucares e produtos de confeitaria ;99;Nao se aplica;52,64;0,47;0,17;12,72;1,40
6908001;Doce de frutas diet;Acucares e produtos de confeitaria ;99;Nao se aplica;52,64;0,47;0,17;12,72;1,40
6908401;Pasteis de santa clara;Acucares e produtos de confeitaria ;99;Nao se aplica;131,15;5,58;5,07;15,44;    
6908501;Suspiro;Acucares e produtos de confeitaria ;99;Nao se aplica;358,26;6,21;0,10;85,89;    
6909301;Doce de frutas cristalizado de qualquer sabor diet;Acucares e produtos de confeitaria ;99;Nao se aplica;52,64;0,47;0,17;12,72;1,40
6909601;Sorvete de qualquer sabor industrializado light;Acucares e produtos de confeitaria ;99;Nao se aplica;188,99;4,43;7,67;26,15;0,60
6909701;Sorvete de qualquer sabor industrializado diet;Acucares e produtos de confeitaria ;99;Nao se aplica;190,00;3,17;12,70;15,87;4,80
6909803;Bala light;Acucares e produtos de confeitaria ;99;Nao se aplica;235,00;0,00;    ;95,00;    
6909901;Chiclete diet;Acucares e produtos de confeitaria ;99;Nao se aplica;240,00;0,00;    ;100,00;    
6909903;Bala diet;Acucares e produtos de confeitaria ;99;Nao se aplica;235,00;0,00;    ;95,00;    
6910002;Barra de chocolate light;Acucares e produtos de confeitaria ;99;Nao se aplica;539,79;10,58;41,64;40,42;4,32
6910102;Barra de chocolate diet;Acucares e produtos de confeitaria ;99;Nao se aplica;539,79;10,58;41,64;40,42;4,32
6910221;Achocolatado em po light;Acucares e produtos de confeitaria ;99;Nao se aplica;337,70;29,42;2,39;55,30;4,43
6910321;Achocolatado em po diet;Acucares e produtos de confeitaria ;99;Nao se aplica;337,70;29,42;2,39;55,30;4,43
6910322;Toddynho diet;Acucares e produtos de confeitaria ;99;Nao se aplica;73,29;3,48;3,51;7,09;0,39
6910401;Bombom de qualquer marca light;Acucares e produtos de confeitaria ;99;Nao se aplica;373,00;0,00;0,02;93,18;    
6910501;Bombom de qualquer marca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;373,00;0,00;0,02;93,18;    
6910502;Bombom caramelizado de qualquer marca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;373,00;0,00;0,02;93,18;    
6910601;Geleia de frutas de qualquer marca ou sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;179,01;0,36;0,05;46,13;0,35
6910604;Geleia light;Acucares e produtos de confeitaria ;99;Nao se aplica;179,01;0,36;0,05;46,13;0,35
6910605;Geleia de frutas light;Acucares e produtos de confeitaria ;99;Nao se aplica;179,01;0,36;0,05;46,13;0,35
6910701;Doce de frutas em barra ou pasta light;Acucares e produtos de confeitaria ;99;Nao se aplica;179,01;0,36;0,05;46,13;0,35
6910702;Doce de frutas em pasta light;Acucares e produtos de confeitaria ;99;Nao se aplica;179,01;0,36;0,05;46,13;0,35
6910801;Pudim de qualquer sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;119,15;5,68;3,55;15,75;    
6910808;Pudim danette light;Acucares e produtos de confeitaria ;99;Nao se aplica;119,15;5,68;3,55;15,75;    
6910901;Pudim de qualquer sabor diet;Acucares e produtos de confeitaria ;99;Nao se aplica;119,15;5,68;3,55;15,75;    
6911201;Doce de leite light;Acucares e produtos de confeitaria ;99;Nao se aplica;292,29;7,58;3,62;58,98;    
6911301;Doce de leite diet;Acucares e produtos de confeitaria ;99;Nao se aplica;292,29;7,58;3,62;58,98;    
6912501;Barra de cereais diet;Acucares e produtos de confeitaria ;99;Nao se aplica;403,45;5,56;5,44;86,36;7,20
6912502;Barra de cereais doce diet;Acucares e produtos de confeitaria ;99;Nao se aplica;403,45;5,56;5,44;86,36;7,20
6912801;Milk shake diet;Acucares e produtos de confeitaria ;99;Nao se aplica;335,52;19,19;1,87;69,94;7,39
6913001;Cocada diet;Acucares e produtos de confeitaria ;99;Nao se aplica;404,80;1,01;12,46;75,65;1,58
6913101;Doce de amendoim diet;Acucares e produtos de confeitaria ;99;Nao se aplica;599,00;28,03;52,50;15,26;9,40
6913103;Pacoca diet;Acucares e produtos de confeitaria ;99;Nao se aplica;599,00;28,03;52,50;15,26;9,40
6913108;Amendoim amanteigado diet;Acucares e produtos de confeitaria ;99;Nao se aplica;477,86;7,09;21,64;64,64;2,96
6913801;Doce à base de leite diet;Acucares e produtos de confeitaria ;99;Nao se aplica;292,29;7,58;3,62;58,98;    
6913901;Gelatina de qualquer sabor light;Acucares e produtos de confeitaria ;99;Nao se aplica;179,01;0,36;0,05;46,13;0,35
6914001;Adocante light;Acucares e produtos de confeitaria ;99;Nao se aplica;365,00;2,17;    ;89,08;    
6914002;Adocante em po light;Acucares e produtos de confeitaria ;99;Nao se aplica;365,00;2,17;    ;89,08;    
6914003;Adocante liquido light;Acucares e produtos de confeitaria ;99;Nao se aplica;    ;0,00;    ;    ;    
7001501;Mostarda molho;Sais e condimentos;99;Nao se aplica;67,00;4,37;4,01;5,33;3,30
7002304;Hortela;Sais e condimentos;99;Nao se aplica;1,00;0,00;    ;0,20;    
7002401;Alcaparra em conserva;Sais e condimentos;99;Nao se aplica;23,00;2,36;0,86;4,89;3,20
7002601;Coentro;Sais e condimentos;99;Nao se aplica;279,00;2,13;4,78;52,10;10,40
7003601;Molho de soja;Sais e condimentos;99;Nao se aplica;53,00;6,28;0,04;7,61;0,80
7003604;Shoyo;Sais e condimentos;99;Nao se aplica;53,00;6,28;0,04;7,61;0,80
7003801;Leite de coco;Sais e condimentos;99;Nao se aplica;202,46;1,61;20,85;5,59;0,91
7004301;Maionese (molho);Sais e condimentos;99;Nao se aplica;261,05;0,47;23,33;13,38;0,06
7004701;Massa de tomate;Sais e condimentos;99;Nao se aplica;38,00;1,65;0,21;8,98;1,90
7004801;Molho de tomate;Sais e condimentos;99;Nao se aplica;24,00;1,32;0,18;5,38;1,50
7004802;Ketchup;Sais e condimentos;99;Nao se aplica;97,00;1,74;0,31;25,15;0,30
7004803;Catchup;Sais e condimentos;99;Nao se aplica;97,00;1,74;0,31;25,15;0,30
7006101;Pimenta em po;Sais e condimentos;99;Nao se aplica;255,00;10,95;3,26;64,81;26,50
7007101;Tucupi em caldo sem pimenta;Sais e condimentos;99;Nao se aplica;4,87;0,01;    ;1,30;0,01
7007502;Creme de queijo;Sais e condimentos;99;Nao se aplica;209,66;10,34;15,81;6,72;0,10
7007701;Caldo de peixe;Sais e condimentos;99;Nao se aplica;16,00;2,00;0,60;0,40;    
7007901;Caldo de tomate;Sais e condimentos;99;Nao se aplica;37,65;0,75;0,78;7,39;0,46
7009102;Gergelim;Sais e condimentos;99;Nao se aplica;631,00;20,45;61,21;11,73;11,60
7010301;Tomate seco;Sais e condimentos;99;Nao se aplica;213,00;5,06;14,08;23,33;5,80
7010401;Maionese (molho) light;Sais e condimentos;99;Nao se aplica;156,58;0,59;9,46;18,77;1,24
7010501;Molho de soja light;Sais e condimentos;99;Nao se aplica;53,13;5,18;0,08;8,53;0,80
7010601;Leite de coco light;Sais e condimentos;99;Nao se aplica;202,46;1,61;20,85;5,59;0,91
7079202;Vinagrete;Sais e condimentos;99;Nao se aplica;76,79;0,65;6,21;3,68;0,93
